,MSFT,AMZN,SNOW,BABA,MU,BNGO,FSLY,BIDU,NNDM,FSLR,CRM,SUMO,XPEV,FROG,SPLK,U,1810.HK,NVDA,TSLA,CSCO,AAPL,GOOG,TWLO,SPOT,MDB,DASH,NIO,QCOM,AMD,Date,MSFT_initial_total,MSFT_current_total,MSFT_profit_nominal,MSFT_profit_rate,AMZN_initial_total,AMZN_current_total,AMZN_profit_nominal,AMZN_profit_rate,SNOW_initial_total,SNOW_current_total,SNOW_profit_nominal,SNOW_profit_rate,BABA_initial_total,BABA_current_total,BABA_profit_nominal,BABA_profit_rate,MU_initial_total,MU_current_total,MU_profit_nominal,MU_profit_rate,BNGO_initial_total,BNGO_current_total,BNGO_profit_nominal,BNGO_profit_rate,FSLY_initial_total,FSLY_current_total,FSLY_profit_nominal,FSLY_profit_rate,BIDU_initial_total,BIDU_current_total,BIDU_profit_nominal,BIDU_profit_rate,NNDM_initial_total,NNDM_current_total,NNDM_profit_nominal,NNDM_profit_rate,FSLR_initial_total,FSLR_current_total,FSLR_profit_nominal,FSLR_profit_rate,CRM_initial_total,CRM_current_total,CRM_profit_nominal,CRM_profit_rate,SUMO_initial_total,SUMO_current_total,SUMO_profit_nominal,SUMO_profit_rate,XPEV_initial_total,XPEV_current_total,XPEV_profit_nominal,XPEV_profit_rate,FROG_initial_total,FROG_current_total,FROG_profit_nominal,FROG_profit_rate,SPLK_initial_total,SPLK_current_total,SPLK_profit_nominal,SPLK_profit_rate,U_initial_total,U_current_total,U_profit_nominal,U_profit_rate,1810.HK_initial_total,1810.HK_current_total,1810.HK_profit_nominal,1810.HK_profit_rate,NVDA_initial_total,NVDA_current_total,NVDA_profit_nominal,NVDA_profit_rate,TSLA_initial_total,TSLA_current_total,TSLA_profit_nominal,TSLA_profit_rate,CSCO_initial_total,CSCO_current_total,CSCO_profit_nominal,CSCO_profit_rate,AAPL_initial_total,AAPL_current_total,AAPL_profit_nominal,AAPL_profit_rate,GOOG_initial_total,GOOG_current_total,GOOG_profit_nominal,GOOG_profit_rate,TWLO_initial_total,TWLO_current_total,TWLO_profit_nominal,TWLO_profit_rate,SPOT_initial_total,SPOT_current_total,SPOT_profit_nominal,SPOT_profit_rate,MDB_initial_total,MDB_current_total,MDB_profit_nominal,MDB_profit_rate,DASH_initial_total,DASH_current_total,DASH_profit_nominal,DASH_profit_rate,NIO_initial_total,NIO_current_total,NIO_profit_nominal,NIO_profit_rate,QCOM_initial_total,QCOM_current_total,QCOM_profit_nominal,QCOM_profit_rate,AMD_initial_total,AMD_current_total,AMD_profit_nominal,AMD_profit_rate,initial_value_for_date,current_value_for_date,profit_nominal_for_date,profit_rate_for_date
0,210.11000061035156,3098.389892578125,274.1499938964844,270.1099853515625,64.18000030517578,0.5,83.38999938964844,133.0399932861328,5.179999828338623,86.91999816894531,257.6400146484375,21.149999618530273,72.16999816894531,60.47999954223633,198.11000061035156,129.39999389648438,27.600000381469727,131.39999389648438,521.8499755859375,41.63999938964844,113.8499984741211,1734.8599853515625,301.7200012207031,268.8599853515625,265.3500061035156,,55.380001068115234,143.82000732421875,85.30999755859375,2020-11-23,1054.95,1050.5500030517578,-4.399996948242233,-0.4170810889845237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.95,1050.5500030517578,-4.399996948242233,-0.4170810889845237
1,213.86000061035156,3118.06005859375,282.1000061035156,279.9599914550781,63.95000076293945,0.49000000953674316,81.25,134.36000061035156,4.989999771118164,90.41000366210938,260.8399963378906,21.270000457763672,70.62999725341797,59.72999954223633,198.49000549316406,129.0399932861328,27.149999618530273,129.57749938964844,555.3800048828125,42.61000061035156,115.16999816894531,1768.8800048828125,292.0,270.1400146484375,264.6000061035156,,53.5099983215332,145.92999267578125,85.06999969482422,2020-11-24,1054.95,1069.3000030517578,14.350003051757767,1.3602543297557008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054.95,1069.3000030517578,14.350003051757767,1.3602543297557008
2,213.8699951171875,3185.070068359375,303.0199890136719,277.7200012207031,63.43000030517578,0.49000000953674316,83.16999816894531,136.0,5.730000019073486,92.44999694824219,246.82000732421875,23.56999969482422,64.2699966430664,66.69000244140625,198.86000061035156,137.4600067138672,26.149999618530273,132.34750366210938,574.0,42.5,116.02999877929688,1771.4300537109375,305.5,270.0899963378906,265.3999938964844,,53.689998626708984,144.0800018310547,86.70999908447266,2020-11-25,1054.95,1069.3499755859375,14.399975585937455,1.3649912873536616,,,,,,,,,1375.0,1388.6000061035156,13.600006103515625,0.9890913529829546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.95,2457.949981689453,27.99998168945308,1.1522863305604358
4,215.22999572753906,3195.340087890625,328.7900085449219,276.4800109863281,64.2300033569336,0.49000000953674316,84.30000305175781,139.4199981689453,6.53000020980835,94.69999694824219,247.6300048828125,25.639999389648438,64.27999877929688,69.37000274658203,204.02999877929688,147.6199951171875,26.049999237060547,132.6125030517578,585.760009765625,42.70000076293945,116.58999633789062,1793.18994140625,319.04998779296875,277.6199951171875,270.0199890136719,,54.0,143.8300018310547,87.19000244140625,2020-11-27,1054.95,1076.1499786376953,21.199978637695267,2.0095718884966365,,,,,,,,,1375.0,1382.4000549316406,7.400054931640625,0.5381858132102273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.95,2458.550033569336,28.600033569335892,1.176980331666747
5,214.07000732421875,3168.0400390625,325.8399963378906,263.3599853515625,64.08999633789062,0.49000000953674316,84.7699966430664,138.99000549316406,6.400000095367432,93.43000030517578,245.8000030517578,26.200000762939453,58.7599983215332,70.36000061035156,204.17999267578125,151.97999572753906,26.5,134.01499938964844,567.5999755859375,43.02000045776367,119.05000305175781,1760.739990234375,320.0899963378906,291.3699951171875,287.30999755859375,,50.529998779296875,147.1699981689453,92.66000366210938,2020-11-30,1054.95,1070.3500366210938,15.400036621093705,1.45978829528354,,,,,,,,,1375.0,1316.7999267578125,-58.2000732421875,-4.232732599431818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.24,102.3165,2.07650000000001,2.0715283320032025,100.0,108.55214950561525,8.552149505615247,8.552149505615247,50.0,47.11079797363281,-2.8892020263671867,-5.778404052734373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,46.48759887695313,-3.512401123046871,-7.024802246093742,50.0,51.50949935913086,1.5094993591308565,3.018998718261713,,,,,2780.19,2743.1265090942384,-37.06349090576174,-1.333127984265884
6,216.2100067138672,3220.080078125,305.6400146484375,264.010009765625,67.08000183105469,0.5,81.69999694824219,140.25999450683594,6.329999923706055,91.05999755859375,241.35000610351562,25.079999923706055,52.36000061035156,69.26000213623047,206.42999267578125,147.22999572753906,26.149999618530273,133.89999389648438,584.760009765625,43.540000915527344,122.72000122070312,1798.0999755859375,313.5799865722656,284.989990234375,275.29998779296875,,45.36000061035156,151.25999450683594,92.62999725341797,2020-12-01,1054.95,1081.050033569336,26.100033569335892,2.4740540849647745,,,,,,,,,1375.0,1320.050048828125,-54.949951171875,-3.996360085227273,,,,,,,,,,,,,,,,,,,,,,,,,190.0,189.45975479125977,-0.540245208740231,-0.28433958354749,,,,,,,,,,,,,,,,,,,,,100.24,100.96514852714539,0.725148527145393,0.7234123375353083,100.0,108.45899505615235,8.458995056152347,8.458995056152347,50.0,48.53508081054688,-1.46491918945312,-2.92983837890624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,41.73120056152344,-8.268799438476563,-16.537598876953126,50.0,52.94099807739258,2.940998077392578,5.881996154785156,,,,,2970.19,2943.1912602214816,-26.998739778518704,-0.908990326494887
7,215.3699951171875,3203.530029296875,292.69000244140625,261.32000732421875,69.11000061035156,0.49000000953674316,80.38999938964844,143.6999969482422,6.400000095367432,90.48999786376953,220.77999877929688,25.469999313354492,56.0,65.69999694824219,205.91000366210938,141.0500030517578,24.299999237060547,135.44500732421875,568.8200073242188,43.88999938964844,123.08000183105469,1827.949951171875,320.3399963378906,320.8900146484375,267.9100036621094,,47.97999954223633,149.97999572753906,93.73999786376953,2020-12-02,1054.95,1076.8499755859375,21.899975585937455,2.0759254548497514,3250.0,3203.530029296875,-46.469970703125,-1.429845252403846,,,,,1375.0,1306.6000366210938,-68.39996337890625,-4.974542791193182,,,,,,,,,,,,,,,,,,,,,,,,,190.0,173.31229904174805,-16.687700958251952,-8.783000504343134,,,,,,,,,,,,,,,,,,,,,100.24,93.82229705429077,-6.417702945709223,-6.402337336102577,100.0,109.7104559326172,9.710455932617194,9.710455932617194,50.0,47.21206060791016,-2.7879393920898394,-5.575878784179679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,44.141599578857424,-5.858400421142576,-11.716800842285151,50.0,52.49299850463867,2.4929985046386705,4.985997009277341,,,,,6220.1900000000005,6107.671752223969,-112.51824777603153,-1.8089197882384906
8,214.24000549316406,3186.72998046875,339.8900146484375,266.9100036621094,69.9000015258789,0.5,82.80999755859375,144.24000549316406,7.579999923706055,88.91999816894531,220.97000122070312,26.049999237060547,51.81999969482422,68.22000122070312,158.02999877929688,145.6699981689453,25.299999237060547,133.9600067138672,593.3800048828125,44.11000061035156,122.94000244140625,1826.77001953125,319.75,316.42999267578125,272.010009765625,,45.349998474121094,149.91000366210938,92.30999755859375,2020-12-03,1054.95,1071.2000274658203,16.250027465820267,1.5403599664268701,3250.0,3186.72998046875,-63.27001953125,-1.9467698317307693,,,,,1375.0,1334.5500183105469,-40.449981689453125,-2.9418168501420454,,,,,,,,,,,,,,,,,,,,,,,,,190.0,173.46145095825196,-16.53854904174804,-8.704499495656865,,,,,,,,,,,,,,,,,,,,,100.24,97.68329705429078,-2.556702945709219,-2.550581549989245,100.0,108.50760543823243,8.507605438232432,8.507605438232432,50.0,49.25054040527344,-0.7494595947265594,-1.4989191894531189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,41.721998596191405,-8.278001403808595,-16.55600280761719,50.0,52.46850128173828,2.468501281738277,4.937002563476554,,,,,6220.1900000000005,6115.573419979095,-104.61658002090456,-1.6818872095692499
9,214.36000061035156,3162.580078125,387.70001220703125,267.25,73.33999633789062,0.5,88.66999816894531,144.07000732421875,7.440000057220459,89.26000213623047,225.86000061035156,30.110000610351562,49.34000015258789,68.12000274658203,161.07000732421875,150.94000244140625,25.350000381469727,135.58250427246094,599.0399780273438,44.380001068115234,122.25,1827.989990234375,319.489990234375,319.7699890136719,277.6300048828125,,43.040000915527344,157.6199951171875,94.04000091552734,2020-12-04,1054.95,1071.8000030517578,16.850003051757767,1.5972323855877308,3250.0,3162.580078125,-87.419921875,-2.68984375,,,,,1375.0,1336.25,-38.75,-2.8181818181818183,,,,,,,,,,,,,,,,,,,,,,,,,190.0,177.30010047912597,-12.699899520874027,-6.684157642565278,,,,,,,,,,,,,,,,,,,,,100.24,97.87635147285462,-2.363648527145372,-2.357989352698895,100.0,109.82182846069337,9.821828460693368,9.821828460693368,50.0,49.72031817626954,-0.27968182373046346,-0.5593636474609269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,39.596800842285155,-10.403199157714845,-20.80639831542969,50.0,55.166998291015624,5.166998291015624,10.333996582031247,,,,,6220.1900000000005,6100.112478899002,-120.07752110099796,-1.9304478014497728
10,214.2899932861328,3158.0,388.9599914550781,264.0,72.61000061035156,0.5299999713897705,85.43000030517578,144.3000030517578,6.670000076293945,88.75,227.6999969482422,24.65999984741211,48.29999923706055,69.7699966430664,155.6199951171875,155.7100067138672,25.149999618530273,136.0675048828125,641.760009765625,44.349998474121094,123.75,1819.47998046875,309.2900085449219,342.0,280.4599914550781,,45.11000061035156,158.02000427246094,94.06999969482422,2020-12-07,1054.95,1071.449966430664,16.499966430664017,1.564051986413007,3250.0,3158.0,-92.0,-2.830769230769231,,,,,1375.0,1320.0,-55.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,190.0,178.7444976043701,-11.25550239562989,-5.92394862927889,,,,,,,,,,,,,,,,,,,,,100.24,97.1041485271454,-3.135851472854597,-3.12834344857801,100.0,110.21467895507813,10.214678955078128,10.214678955078128,50.0,53.266080810546875,3.2660808105468746,6.532161621093748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,41.50120056152344,-8.49879943847656,-16.99759887695312,50.0,55.30700149536133,5.307001495361327,10.614002990722653,,,,,6220.1900000000005,6085.587574384689,-134.6024256153107,-2.1639600336213425
